"","employees","salaries2017","adjustments","salaries2018","raise"
"1","Employee 1",44617.4934902228,-1613.70750400238,43003.7859862205,FALSE
"2","Employee 2",46076.7869534902,-1898.21519423276,44178.5717592575,FALSE
"3","Employee 3",44317.9784016684,3583.60675978474,47901.5851614531,TRUE
"4","Employee 4",47584.0063602664,4857.07179526798,52441.0781555343,TRUE
"5","Employee 5",45158.5754728876,-3595.34278861247,41563.2326842751,FALSE
"6","Employee 6",40724.6761955321,409.775710431859,41134.4519059639,TRUE
"7","Employee 7",44106.4839530736,8717.35911350697,52823.8430665806,TRUE
"8","Employee 8",42985.3720660321,2503.37724690326,45488.7493129354,TRUE
"9","Employee 9",46385.9599456191,635.404557688162,47021.3645033073,TRUE
"10","Employee 10",40597.8469015099,-4949.56243550405,35648.2844660059,FALSE
"11","Employee 11",43862.9689393565,-332.580497488379,43530.3884418681,FALSE
"12","Employee 12",43102.7374044061,-4743.48672432825,38359.2506800778,FALSE
"13","Employee 13",42198.3290696517,6096.85568604618,48295.1847556978,TRUE
"14","Employee 14",47195.9183341824,6871.83376168832,54067.7520958707,TRUE
"15","Employee 15",44192.5957426429,4747.02893174253,48939.6246743854,TRUE
"16","Employee 16",40256.848661229,-982.729952083901,39274.1187091451,FALSE
"17","Employee 17",47936.460277997,-1939.84843557701,45996.61184242,FALSE
"18","Employee 18",40776.1089596897,-1674.08580309711,39102.0231565926,FALSE
"19","Employee 19",46351.5730458312,2785.27186135761,49136.8449071888,TRUE
"20","Employee 20",42444.0888105892,1554.59524365142,43998.6840542406,TRUE
"21","Employee 21",42875.0546439551,-4093.7288547866,38781.3257891685,FALSE
"22","Employee 22",40970.4247675836,-2190.7513437327,38779.6734238509,FALSE
"23","Employee 23",43334.8591160029,8024.25923291594,51359.1183489189,TRUE
"24","Employee 24",49095.9521336481,5390.88516263291,54486.837296281,TRUE
"25","Employee 25",45079.1460461915,-878.815010655671,44200.3310355358,FALSE
"26","Employee 26",45216.4356410503,-4956.95479214191,40259.4808489084,FALSE
"27","Employee 27",40414.6722494625,-986.973287072033,39427.6989623904,FALSE
"28","Employee 28",40296.3788923807,7906.50871349499,48202.8876058757,TRUE
"29","Employee 29",42099.7373992577,9012.36239238642,51112.0997916441,TRUE
"30","Employee 30",45795.5721858889,4129.69125434756,49925.2634402364,TRUE
"31","Employee 31",47425.0006699003,7222.91054087691,54647.9112107772,TRUE
"32","Employee 32",49869.6845164523,-3039.49295426719,46830.1915621851,FALSE
"33","Employee 33",40703.0596630648,-532.321571372449,40170.7380916923,FALSE
"34","Employee 34",49792.9588332772,7078.1346806325,56871.0935139097,TRUE
"35","Employee 35",42699.0873669274,-263.76518770121,42435.3221792262,FALSE
"36","Employee 36",48805.9815950692,-516.139290994033,48289.8423040751,FALSE
"37","Employee 37",45649.0638502873,-3510.35485859029,42138.7089916971,FALSE
"38","Employee 38",48535.4389576241,-2484.4485509675,46050.9904066566,FALSE
"39","Employee 39",48750.4576845095,700.830201385543,49451.287885895,TRUE
"40","Employee 40",42181.3591523096,-2615.56009645574,39565.7990558539,FALSE
"41","Employee 41",42785.1487300359,7312.31478741392,50097.4635174498,TRUE
"42","Employee 42",49735.4678553529,-1495.85083476268,48239.6170205902,FALSE
